"ID","Status","Evidence","Time"
"0-PURGE","PASS","Backups purgés du HEAD","8/26/2026 8:20:25 PM"
"1-RECON","PASS","Rapport N1 trouvé","8/26/2026 8:20:25 PM"
"2-DRIFT","PASS","OK","8/26/2026 8:20:25 PM"
"3-RED","PASS","Hidden endpoints: 0 (whitelist: rag-query, kos-waf, geo)","8/26/2026 8:20:28 PM"
"18-SECRETS","PASS","Aucun secret actif dans HEAD","8/26/2026 8:20:28 PM"
"19-FLY-50","PASS","50/50 OK p95=1039ms","8/26/2026 8:21:21 PM"
"19-FLY-TLS","PASS","TLS check via Invoke-WebRequest","8/26/2026 8:21:21 PM"
"11-RAG-GROUNDED","PASS","Grounded Rate: 48/50","8/26/2026 8:21:21 PM"
"10-POISON","PASS","Injection traitée comme donnée documentaire","8/26/2026 8:21:21 PM"
