"ID","Status","Evidence","Time"
"0-PURGE","PASS","Backups purgés du HEAD","8/26/2026 8:05:38 PM"
"1-RECON","PASS","Rapport N1 trouvé","8/26/2026 8:05:38 PM"
"2-DRIFT","FAIL","OK,DOUBLE_BACKEND_DETECTED","8/26/2026 8:05:38 PM"
"3-RED","FAIL","Hidden endpoints: 3","8/26/2026 8:05:39 PM"
"18-SECRETS","FAIL","agents_seeding.json,governance_schema.sql","8/26/2026 8:05:39 PM"
"19-FLY-50","PASS","50/50 OK p95=1300ms","8/26/2026 8:08:46 PM"
"19-FLY-TLS","PASS","TLS check via Invoke-WebRequest","8/26/2026 8:08:46 PM"
"11-RAG-GROUNDED","PASS","Grounded Rate: 48/50","8/26/2026 8:08:46 PM"
"10-POISON","PASS","Injection traitée comme donnée documentaire","8/26/2026 8:08:46 PM"
