"ID","Status","Evidence","Time"
"0-PURGE","PASS","Backups purgés du HEAD","8/26/2026 8:09:55 PM"
"1-RECON","PASS","Rapport N1 trouvé","8/26/2026 8:09:55 PM"
"2-DRIFT","PASS","OK","8/26/2026 8:09:55 PM"
"3-RED","FAIL","Hidden endpoints: 2","8/26/2026 8:09:57 PM"
"18-SECRETS","PASS","Aucun secret actif dans HEAD","8/26/2026 8:09:57 PM"
"19-FLY-50","PASS","50/50 OK p95=1317ms","8/26/2026 8:10:45 PM"
"19-FLY-TLS","PASS","TLS check via Invoke-WebRequest","8/26/2026 8:10:45 PM"
"11-RAG-GROUNDED","PASS","Grounded Rate: 48/50","8/26/2026 8:10:45 PM"
"10-POISON","PASS","Injection traitée comme donnée documentaire","8/26/2026 8:10:45 PM"
